,Cost,# of Atoms,Peak OD,Y Field [Compression],Y Field [Cooling],Y Field [Repump off],Y Field [Optical pump],Y Field [Stage 16]
100,998.0142004823591,39640890.71291948,3.1129430291393914,0.0,0.0,0.1,0.02,0.1
184,869.647472616473,38478798.30458317,2.9792128153115485,0.03,0.02,0.15,0.03,0.06
9,959.7271058324044,37833439.32800918,3.082190271028434,0.0,0.01,0.04,0.03,0.04
176,919.5149131436789,37149815.87138544,3.0422233576298594,0.0,0.04,0.14,0.04,0.05
177,905.6110199233198,36856763.8022999,3.0284103152842943,0.0,0.03,0.14,0.07,0.04
10,921.6962609782149,36832452.39802536,3.0463691684875642,0.01,0.03,0.08,0.01,0.24
185,760.4501540006536,36344049.63835992,2.8597628571047946,0.01,0.04,0.19,0.05,0.03
143,885.2022227364048,36253355.93487999,3.0087974165189064,0.0,0.01,0.15,0.05,0.05
80,745.5295913532409,36070191.031075105,2.842368659587027,0.03,0.05,0.11,0.2,0.04
98,661.5335254730688,35396492.62780407,2.734777400528135,0.01,0.05,0.12,0.09,0.08
186,725.1666766936081,35263030.432006925,2.820503806427116,0.03,0.03,0.19,0.02,0.05
141,754.0140815569395,35014087.54490879,2.8587687884257083,0.0,0.04,0.12,0.07,0.1
187,759.0589080121279,34872222.18827205,2.8659059089579717,0.02,0.05,0.06,0.12,0.04
142,739.2605465088849,34859460.03826079,2.8408384825902107,0.0,0.03,0.15,0.07,0.17
79,659.733243061569,34633975.45953034,2.736264376098386,0.02,0.08,0.11,0.1,0.21
175,660.7689980397676,34328186.01436839,2.7393147611263235,0.02,0.01,0.16,0.06,0.0
120,638.9844111346566,34168135.34958395,2.709718153655437,0.01,0.05,0.18,0.15,0.08
102,697.44734541283,34157542.62542433,2.7900168085364405,0.0,0.03,0.1,0.01,0.04
155,697.7906434724421,33976035.071627975,2.791465927594134,0.01,0.06,0.17,0.05,0.26
178,680.494615884137,33957278.328445144,2.768310740883724,0.02,0.06,0.13,0.1,0.29
112,607.2850821121446,33845477.58362199,2.665833164129162,0.01,0.05,0.15,0.05,0.28
113,613.7405087221716,33575752.834065616,2.6766733083835073,0.0,0.0,0.15,0.0,0.09
169,673.2625938233236,33323064.207684107,2.7619385098122575,0.0,0.01,0.1,0.04,0.02
72,569.4132360208782,33201759.504088916,2.612566133572168,0.01,0.08,0.17,0.08,0.22
115,552.7140859488684,33173505.583145127,2.5869196221683537,0.03,0.05,0.06,0.11,0.04
188,703.4594684917768,33064169.064314954,2.80408629520995,0.0,0.03,0.0,0.03,0.29
160,629.8549647988679,32991551.12403128,2.703059034059441,0.0,0.02,0.15,0.02,0.04
182,634.0378382406024,32971427.66236508,2.709139721795813,0.01,0.02,0.18,0.01,0.05
195,629.2812550175597,32878883.449912615,2.7028544696819963,0.01,0.03,0.11,0.06,0.06
82,438.4943086160181,32765746.565752514,2.3967837867554613,0.07,0.01,0.12,0.21,0.13
114,555.9053577148392,32720346.342027776,2.5942668086407177,0.01,0.01,0.04,0.11,0.01
104,647.0919407108078,32654790.005973797,2.729361663782297,0.01,0.04,0.07,0.04,0.13
69,524.1416012605387,32648160.374068424,2.5442581816595635,0.04,0.07,0.13,0.09,0.22
116,587.0245511211182,32534586.941289954,2.6428019993212803,0.0,0.06,0.07,0.1,0.03
196,693.4368305813632,32451524.477515753,2.794187369237708,0.01,0.04,0.02,0.04,0.28
180,624.544003658296,32396718.895846575,2.698711833781783,0.03,0.06,0.03,0.1,0.23
183,500.80741167119044,32293416.158170864,2.5077537662138427,0.03,0.07,0.11,0.14,0.03
140,594.7856688617126,32068615.182131056,2.656952204258652,0.0,0.05,0.2,0.11,0.13
48,555.4164694440136,32064560.942841515,2.5970092036153467,0.03,0.04,0.17,0.12,0.15
197,555.0737990995628,32029684.894484892,2.596663409160451,0.04,0.06,0.19,0.18,0.27
174,569.0749204532333,31981411.902036242,2.6185783319030644,0.02,0.06,0.0,0.09,0.08
133,561.409319120998,31890204.86171506,2.6072638808999633,0.01,0.04,0.11,0.12,0.05
53,579.9066018189355,31680135.566585906,2.6367512891587794,0.0,0.0,0.03,0.09,0.24
121,519.5645085482487,31676857.46071678,2.5419439568142415,0.01,0.07,0.04,0.02,0.28
154,513.1095757295452,31651857.960522924,2.531506496128027,0.04,0.07,0.1,0.19,0.13
170,599.8842250910611,31616531.208616566,2.6670458916386766,0.0,0.0,0.11,0.08,0.13
119,482.44102852607614,31574745.413493685,2.480434215760175,0.02,0.07,0.01,0.07,0.07
147,476.2795814538652,31507415.430389483,2.4701809406901587,0.01,0.09,0.18,0.04,0.26
168,504.11848135554874,31380815.324142642,2.518076373455609,0.02,0.0,0.1,0.03,0.0
179,502.2807678016855,31338937.741765436,2.5152367781775524,0.03,0.06,0.14,0.1,0.2
103,469.93544134135226,31311995.038934857,2.4601844109731594,0.01,0.06,0.16,0.01,0.16
166,576.9970660100108,31300136.652536944,2.634452860266756,0.0,0.02,0.18,0.01,0.2
161,469.26435342890954,31265556.37042772,2.45925611216794,0.0,0.07,0.14,0.14,0.08
108,566.9396618741418,31226033.546323683,2.619470287834304,0.0,0.01,0.03,0.01,0.17
173,542.0830371100716,31077205.00587456,2.5814366487933436,0.03,0.03,0.13,0.23,0.27
111,504.26348307299844,31001531.97726581,2.520360304416292,0.0,0.01,0.18,0.03,0.11
17,367.6048349301668,30945958.86532849,2.2685889604378455,0.08,0.04,0.19,0.12,0.14
181,517.0854511602768,30937133.92815917,2.5418959784686455,0.0,0.03,0.19,0.07,0.05
106,495.8973719751406,30909799.66139368,2.506839512120126,0.02,0.01,0.01,0.16,0.3
109,460.85520550855233,30861994.428754173,2.4465959092915064,0.05,0.0,0.0,0.03,0.27
153,493.1802297993787,30812394.024774443,2.5027792124827553,0.03,0.02,0.2,0.08,0.1
139,435.0879111690879,30769036.375107475,2.4006034818831137,0.0,0.08,0.17,0.15,0.12
157,549.1969527856548,30766511.10065372,2.5944173635632937,0.01,0.05,0.14,0.01,0.16
42,440.4160012184267,30741189.758662675,2.410508531640591,0.0,0.08,0.17,0.11,0.29
36,232.38981266216464,30714706.896168243,1.947982092771543,0.08,0.11,0.2,0.01,0.06
110,403.49328763348046,30703969.418259963,2.341359816812041,0.05,0.0,0.17,0.23,0.14
4,451.05018053812046,30596731.90568513,2.4305187922548233,0.07,0.06,0.18,0.24,0.19
191,510.9204556929935,30442546.49264703,2.5344753758372236,0.0,0.06,0.19,0.01,0.25
165,509.57488967011614,30431458.966340795,2.532309980476825,0.0,0.02,0.12,0.12,0.12
145,520.9435400223911,30349588.5127941,2.551461875939334,0.0,0.01,0.17,0.15,0.16
78,310.9779001243038,30253787.56079875,2.1487880720072017,0.06,0.07,0.12,0.09,0.02
101,419.0565328990064,30237035.546373855,2.373507736522695,0.04,0.05,0.01,0.0,0.1
68,361.4978435610898,30222120.44759412,2.2595188557234285,0.04,0.08,0.18,0.05,0.16
49,377.58759392550496,30182014.10480224,2.2927590827381987,0.03,0.08,0.06,0.09,0.02
192,503.21046034763964,30180478.145136986,2.5231159598518342,0.03,0.0,0.03,0.07,0.14
71,395.1305518740645,30076804.63934911,2.328272618144375,0.04,0.01,0.08,0.17,0.09
171,484.86540777060515,30067544.339891218,2.492697684779848,0.0,0.0,0.07,0.03,0.04
167,509.38727433240456,29919423.311321996,2.534865389843375,0.01,0.01,0.01,0.19,0.28
19,541.6634780579166,29884696.887673333,2.587511863921476,0.0,0.02,0.08,0.13,0.14
126,429.08399031525806,29829640.0897408,2.3944549062177707,0.01,0.05,0.15,0.01,0.29
12,287.4698153142985,29704379.247176945,2.095777409182125,0.06,0.1,0.15,0.06,0.05
95,275.0392267603228,29700152.25938764,2.065142723982151,0.05,0.07,0.17,0.07,0.08
134,443.78953880273457,29636677.19965121,2.4225504416280574,0.0,0.02,0.15,0.24,0.3
149,511.64933649412666,29533848.836398546,2.5408084168810112,0.0,0.06,0.08,0.07,0.19
90,428.4920271539134,29479389.186801188,2.39523872866495,0.02,0.03,0.12,0.13,0.21
190,470.89945272070156,29459042.92692575,2.4718983640558965,0.03,0.05,0.08,0.21,0.12
45,350.12924596211786,29423010.503769606,2.2395776036560755,0.01,0.1,0.05,0.09,0.02
56,360.95563098712745,29369328.758985944,2.2627025708482376,0.04,0.08,0.02,0.09,0.05
132,376.8896016225308,29358230.67849807,2.2955769681151557,0.02,0.01,0.18,0.16,0.03
6,408.10058533219564,29314368.932456225,2.3575061723691197,0.07,0.05,0.09,0.17,0.16
122,430.19795442895565,29254875.401714478,2.399636012815415,0.0,0.0,0.09,0.0,0.07
172,402.1686179305946,29218316.936093662,2.3465412358961073,0.0,0.04,0.17,0.11,0.03
107,417.46185943540684,29186009.728365835,2.376091165627103,0.0,0.03,0.11,0.0,0.25
158,363.9896926000323,29183242.247238502,2.2699864917386368,0.01,0.06,0.17,0.2,0.01
156,417.2674411726627,29169748.219448313,2.3758105267750143,0.0,0.06,0.16,0.04,0.27
8,318.4012051140668,29090361.285295732,2.1714214060567376,0.02,0.14,0.08,0.08,0.16
159,475.8074960256375,29077682.89790644,2.48261245279076,0.0,0.03,0.08,0.02,0.06
11,312.63100054241715,28893709.343514618,2.159200466342862,0.06,0.09,0.05,0.16,0.11
118,396.82378783222384,28731901.06293294,2.3387158620105484,0.0,0.05,0.01,0.06,0.08
35,204.32455837208454,28703506.413725395,1.874622021707787,0.09,0.14,0.19,0.25,0.3
198,377.0710424849973,28666811.525450855,2.299596431922917,0.04,0.03,0.12,0.21,0.13
81,195.37226909931732,28541901.760557063,1.8475292197367061,0.1,0.04,0.13,0.21,0.07
7,251.5579949805791,28493739.87029276,2.0101661316690307,0.06,0.12,0.01,0.2,0.04
1,365.9257839496369,28458513.731062084,2.2778199889401964,0.07,0.0,0.18,0.02,0.26
92,207.62737452368907,28430875.18713668,1.885868478142799,0.07,0.01,0.16,0.0,0.0
46,358.955737323863,28430147.975306574,2.2634152503061187,0.05,0.07,0.04,0.17,0.22
14,389.20907098039197,28396804.936618052,2.3254779982249656,0.05,0.06,0.12,0.14,0.25
129,392.6679438712682,28306839.837477777,2.332839967940378,0.0,0.01,0.06,0.1,0.02
148,402.02666268126967,28253439.69932797,2.351524054339838,0.04,0.04,0.02,0.07,0.25
146,374.8121617386656,28233046.09221865,2.297329411742485,0.01,0.02,0.17,0.17,0.03
59,325.14321504938135,28098884.384532537,2.1917021623470547,0.06,0.02,0.15,0.23,0.26
2,458.1299040392946,28014232.521596793,2.457575575525759,0.0,0.08,0.03,0.11,0.24
93,285.15550899586736,28002005.797895838,2.098378837131908,0.01,0.11,0.0,0.1,0.14
87,306.43805289384676,27916344.68646017,2.1497745676968254,0.0,0.08,0.13,0.16,0.2
163,344.1255301462683,27904586.920435704,2.234583144615225,0.01,0.01,0.2,0.1,0.03
39,347.6682317370771,27875700.79048852,2.242380010370254,0.01,0.0,0.11,0.22,0.06
41,226.64787255870198,27827188.212817058,1.944562300471022,0.02,0.11,0.19,0.17,0.03
73,318.247745336172,27752208.16773616,2.1778997434049305,0.05,0.01,0.09,0.12,0.15
83,300.41738027863914,27735898.99345543,2.1365258158025178,0.04,0.0,0.11,0.2,0.13
54,420.1078536334008,27586065.017602768,2.3900679069191475,0.01,0.01,0.02,0.05,0.24
137,346.0883445194351,27567794.004017312,2.240636892681296,0.02,0.0,0.14,0.07,0.18
21,208.8330434000549,27526539.940107767,1.8935884408227102,0.04,0.11,0.16,0.01,0.04
16,296.5285452399931,27478817.2155212,2.1285879573920865,0.05,0.09,0.07,0.03,0.12
40,348.37286098818055,27382090.661466632,2.246568377817445,0.03,0.05,0.08,0.01,0.25
144,300.7865427977038,27333416.323180117,2.1394847130788683,0.0,0.09,0.08,0.01,0.02
105,221.64507743116206,27304716.509808786,1.932588998537202,0.01,0.13,0.2,0.0,0.28
151,381.3157723392014,27283161.745598514,2.3158189122562636,0.02,0.06,0.05,0.04,0.18
123,344.95358186432924,27251792.52319617,2.239906400664052,0.0,0.02,0.01,0.09,0.05
47,225.8099250657332,27249454.33939519,1.9448814966340087,0.09,0.03,0.05,0.21,0.16
15,245.23198360228534,27143027.466004185,1.999636941353334,0.07,0.12,0.08,0.07,0.25
23,245.85517831364834,27076889.346666694,2.00165492090101,0.05,0.06,0.16,0.03,0.02
77,201.66826314213708,27073176.28498397,1.8737540254017038,0.07,0.13,0.11,0.24,0.29
67,230.43544143599703,27049896.91283022,1.9590313833390205,0.08,0.07,0.1,0.02,0.15
52,270.2948114058497,26806155.992263015,2.0672815747942,0.06,0.03,0.17,0.05,0.25
18,231.6390225568286,26802175.387557782,1.9636403103608107,0.05,0.13,0.01,0.24,0.27
189,311.4925027826397,26720465.36545169,2.167848727257165,0.02,0.09,0.0,0.01,0.24
128,212.05049168802068,26489348.748147972,1.908143688011496,0.01,0.12,0.2,0.23,0.18
70,170.35233696497002,26467302.591393262,1.7739367103928543,0.05,0.11,0.1,0.05,0.02
193,279.45232793664866,26422153.36060475,2.0923810084302867,0.0,0.11,0.1,0.18,0.29
117,198.0209157430235,26348758.642060883,1.8657599141259213,0.05,0.01,0.03,0.06,0.02
152,243.96333347454282,26307192.911769073,2.000349907382231,0.04,0.01,0.08,0.17,0.0
99,205.98524013957459,26212956.80363956,1.8910966615079063,0.02,0.1,0.06,0.21,0.02
125,206.41446796162975,26118403.089236576,1.8928652928236251,0.04,0.11,0.12,0.22,0.17
34,162.10854963314912,26086660.798738405,1.746533212547058,0.06,0.11,0.02,0.03,0.05
57,328.590528453168,26077933.191581342,2.210393414660754,0.0,0.01,0.06,0.06,0.22
20,340.1006761314644,25942274.323501,2.236684623432711,0.0,0.03,0.02,0.2,0.12
50,188.72467009290253,25726521.46918513,1.839022180405682,0.06,0.1,0.15,0.18,0.18
13,161.50759734169608,25697317.994984534,1.7461221264312914,0.06,0.12,0.04,0.08,0.05
88,160.34177171113035,25524434.29715703,1.7426947391826135,0.04,0.12,0.04,0.13,0.14
51,255.0969778544113,25520457.000043508,2.034442302635308,0.02,0.08,0.01,0.18,0.06
74,193.96891682332725,25467613.74021205,1.8571529480873201,0.0,0.11,0.15,0.06,0.1
65,206.2098836538291,25309262.226424333,1.8962141656667821,0.04,0.07,0.13,0.14,0.08
84,260.3721137031718,25301016.343778636,2.049549850465211,0.0,0.04,0.13,0.19,0.24
164,278.6986537005043,25271448.858286556,2.096713758682252,0.0,0.01,0.02,0.0,0.04
85,127.11565422528932,25254856.26361843,1.6140347657083793,0.09,0.09,0.11,0.19,0.1
127,173.5596918412536,25251902.36552803,1.790603997835797,0.03,0.14,0.07,0.07,0.29
0,266.9500143192267,25222045.197694782,2.067096885808068,[0.04],[0.05],[0.13],[0.14],[0.09]
5,164.20970427794384,25101601.07189265,1.7585540794645622,0.08,0.12,0.14,0.22,0.18
89,148.6603664225767,25022969.070934497,1.7015525637326068,0.07,0.02,0.11,0.02,0.11
55,146.54210790525616,24997599.96311195,1.6935466058042612,0.05,0.12,0.01,0.04,0.05
60,219.6116018810939,24749626.883904636,1.9393228183880156,0.02,0.07,0.02,0.2,0.06
124,235.40363814493907,24719581.77757051,1.984896703373105,0.01,0.05,0.05,0.02,0.01
33,153.28216305689466,24609532.763205614,1.7209169949963172,0.09,0.02,0.08,0.19,0.13
37,194.80448315655457,24557625.729985084,1.8643330767975783,0.06,0.07,0.02,0.14,0.13
97,62.03418024907126,24551887.2813691,1.2731345535110379,0.1,0.13,0.17,0.13,0.02
96,109.51334093621043,24551508.574962933,1.5386980808835304,0.08,0.1,0.05,0.16,0.07
43,154.29748492467246,24458973.60159182,1.725414167864074,0.0,0.14,0.01,0.02,0.14
38,146.9378071093632,24337831.55396287,1.6980951963455113,0.04,0.11,0.14,0.16,0.09
3,94.1918240122334,24308218.799918853,1.4642790122751275,0.08,0.14,0.17,0.25,0.02
22,124.30556824026351,24113671.229999453,1.6069991256080882,0.01,0.15,0.01,0.06,0.08
32,242.93879411966512,23935818.39049927,2.010166799587061,0.01,0.05,0.0,0.24,0.17
86,120.32377136449742,23900410.661547806,1.5905957446481729,0.06,0.08,0.09,0.14,0.02
138,119.35858486291252,23863125.931445584,1.5864964260337608,0.02,0.13,0.18,0.13,0.11
66,186.1112016319855,23836545.10292371,1.8398298207252823,0.05,0.04,0.06,0.06,0.1
150,133.52812455510653,23809906.01704071,1.647189041717891,0.1,0.01,0.03,0.14,0.24
31,184.52095027760635,23789798.795580123,1.8348147335886724,0.04,0.05,0.09,0.04,0.06
94,118.0686659169437,23761078.316765197,1.581212316783999,0.07,0.05,0.03,0.18,0.02
130,200.95346301900378,23673333.303851336,1.8883576920269152,0.0,0.06,0.01,0.05,0.01
29,179.24366455321862,23553794.35935401,1.8183617444618005,0.05,0.02,0.07,0.04,0.13
91,94.99526687709684,23502895.67747372,1.4717328282444742,0.04,0.12,0.07,0.16,0.02
24,131.16816136902338,23439453.957950972,1.6391400648975731,0.07,0.12,0.06,0.08,0.21
26,183.4608905987127,23416056.81657707,1.833228805857353,0.01,0.07,0.14,0.02,0.1
199,176.72323222177033,23331717.81273985,1.8109419813963639,0.0,0.06,0.19,0.01,0.07
194,218.158042976907,23259024.03782201,1.943065418619829,0.02,0.04,0.01,0.18,0.12
162,73.38616708023615,23016378.943101496,1.3522969858100349,0.1,0.14,0.01,0.04,0.14
58,103.49635993557351,22945884.69510912,1.5168100326583998,0.07,0.01,0.2,0.24,0.03
131,181.30163582222858,22852535.357197583,1.8289764589343656,0.05,0.03,0.1,0.08,0.29
25,167.75953958026614,22793098.329196632,1.7825649377849333,0.06,0.06,0.15,0.17,0.27
44,86.1132969124231,22636187.935020935,1.4279282439803584,0.04,0.14,0.12,0.23,0.07
135,158.37426014867776,22382584.25358052,1.750803549463484,0.01,0.02,0.04,0.04,0.03
136,153.96264782836505,22242830.70303938,1.7351181030536913,0.01,0.07,0.05,0.22,0.04
75,101.85742760579745,21669159.746734627,1.5145307787094406,0.02,0.11,0.14,0.08,0.1
30,63.52461457508389,21481532.95039292,1.2947314509883072,0.09,0.09,0.12,0.03,0.02
61,89.48731147173734,21220333.890326444,1.452581193228874,0.09,0.06,0.05,0.2,0.17
27,132.0047940428948,21169369.037584566,1.6538119521682808,0.06,0.06,0.16,0.01,0.28
63,52.24070952032069,20919934.805368952,1.2151665155003655,0.09,0.08,0.06,0.2,0.0
62,81.63964084991565,20891786.822233226,1.4102803479778476,0.02,0.14,0.01,0.1,0.2
76,55.28032899765628,20197127.98657599,1.2411982340913625,0.06,0.13,0.1,0.2,0.07
28,86.76472449428923,19776838.184017062,1.444466918645342,0.08,0.07,0.11,0.09,0.23
64,57.76326764399077,19316971.906915374,1.2632570432000918,0.04,0.14,0.02,0.24,0.25
